Institution ID,Security Ticker,Shares Held,Position report date
000W5D-E,UNP,13800,20061231
000W5D-E,UNP,13800,20070331
000W5D-E,UNP,13800,20070630
000W5D-E,UNP,13800,20070930
000W5D-E,UNP,13800,20071231
000W5D-E,UNP,13900,20080331
000W5D-E,UNP,27800,20080630
000W5D-E,UNP,27800,20080930
000W5D-E,UNP,27800,20081231
000W5D-E,UNP,27800,20090331
000W5D-E,UNP,27800,20090630
000W5D-E,UNP,27800,20090930
000W5D-E,UNP,43275,20091231
000W5D-E,UNP,43275,20100331
000W5D-E,UNP,40600,20100630
000W5D-E,UNP,35100,20100930
000W5D-E,UNP,35075,20101231
000W5D-E,KB,8575,20061231
000W5D-E,KB,8575,20070331
000W5D-E,KB,8575,20070630
000W5D-E,KB,8575,20070930
000W5D-E,KB,8575,20071231
000W5D-E,KB,8575,20080331
000W5D-E,KB,8575,20080630
000W5D-E,KB,8575,20080930
000W5D-E,KB,7950,20081231
000W5D-E,KB,7950,20090630
000W5D-E,KB,7950,20090930
000W5D-E,KB,7950,20091231
000W5D-E,KB,7950,20100331
000W5D-E,KB,7950,20100630
000W5D-E,KB,7950,20100930
000W5D-E,KB,7950,20101231
000W5D-E,LB,307485,20061231
000W5D-E,LB,307285,20070331
000W5D-E,LB,308885,20070630
000W5D-E,LB,314682,20070930
000W5D-E,LB,323482,20071231
000W5D-E,LB,335607,20080331
000W5D-E,LB,335607,20080630
000W5D-E,LB,343332,20080930
000W5D-E,LB,375282,20081231
000W5D-E,LB,374257,20090331
000W5D-E,LB,374122,20090630
000W5D-E,LB,369082,20090930
000W5D-E,LB,338777,20091231
000W5D-E,LB,331987,20100331
000W5D-E,LB,292930,20100630
000W5D-E,LB,265675,20100930
000W5D-E,LB,261225,20101231
000W5D-E,SCHW,366835,20070331
000W5D-E,SCHW,366735,20070630
000W5D-E,SCHW,387885,20070930
000W5D-E,SCHW,384520,20071231
000W5D-E,SCHW,397945,20080331
000W5D-E,SCHW,396545,20080630
000W5D-E,SCHW,402045,20080930
000W5D-E,SCHW,414605,20081231
000W5D-E,SCHW,411515,20090331
000W5D-E,SCHW,410005,20090630
000W5D-E,SCHW,409805,20090930
000W5D-E,SCHW,409355,20091231
000W5D-E,SCHW,403855,20100331
000W5D-E,SCHW,387305,20100630
000W5D-E,SCHW,332795,20100930
000W5D-E,SCHW,332670,20101231
000W5D-E,AOS,18000,20061231
000W5D-E,AOS,18000,20070331
000W5D-E,AOS,18000,20070630
000W5D-E,AOS,18000,20070930
000W5D-E,AOS,18000,20071231
000W5D-E,AOS,18000,20080331
000W5D-E,AOS,18000,20080630
000W5D-E,AOS,18000,20080930
000W5D-E,AOS,18000,20081231
000W5D-E,AOS,18000,20090331
000W5D-E,AOS,18000,20090630
000W5D-E,AOS,18000,20090930
000W5D-E,AOS,18000,20091231
000W5D-E,AOS,18000,20100331
000W5D-E,AOS,18000,20100630
000W5D-E,AOS,18000,20100930
000W5D-E,AOS,27000,20101231
000W5D-E,FL,17600,20061231
000W5D-E,FL,17600,20070331
000W5D-E,FL,17600,20070630
000W5D-E,FL,17600,20070930
000W5D-E,FL,17600,20071231
000W5D-E,FL,19500,20080331
000W5D-E,FL,19500,20080630
000W5D-E,FL,19500,20080930
000W5D-E,FL,19500,20081231
000W5D-E,FL,19500,20090331
000W5D-E,FL,50700,20090630
000W5D-E,FL,61200,20090930
000W5D-E,FL,76100,20091231
000W5D-E,FL,76100,20100331
000W5D-E,FL,56100,20100630
000W5D-E,FL,153800,20100930
000W5D-E,FL,153800,20101231
000W5D-E,DD,150692,20061231
000W5D-E,DD,150642,20070331
000W5D-E,DD,149492,20070630
000W5D-E,DD,151497,20070930
000W5D-E,DD,151772,20071231
000W5D-E,DD,155942,20080331
000W5D-E,DD,158757,20080630
000W5D-E,DD,162857,20080930
000W5D-E,DD,236627,20081231
000W5D-E,DD,207527,20090331
000W5D-E,DD,192901,20090630
000W5D-E,DD,192901,20090930
000W5D-E,DD,164101,20091231
000W5D-E,DD,165276,20100331
000W5D-E,DD,162401,20100630
000W5D-E,DD,153821,20100930
000W5D-E,DD,153811,20101231
000W5D-E,BBVA,37700,20061231
000W5D-E,BBVA,37700,20070331
000W5D-E,BBVA,37700,20070630
000W5D-E,BBVA,77155,20070930
000W5D-E,BBVA,77152,20071231
000W5D-E,BBVA,77152,20080331
000W5D-E,BBVA,77152,20080630
000W5D-E,BBVA,77152,20080930
000W5D-E,BBVA,74652,20081231
000W5D-E,BBVA,74652,20090331
000W5D-E,BBVA,75853,20090630
000W5D-E,BBVA,75853,20090930
000W5D-E,BBVA,53176,20091231
000W5D-E,BBVA,53176,20100331
000W5D-E,BBVA,53176,20100630
000W5D-E,BBVA,53176,20100930
000W5D-E,BBVA,53176,20101231
000W5D-E,PTGCY,12400,20061231
000W5D-E,PTGCY,12400,20070331
000W5D-E,PTGCY,12400,20070630
000W5D-E,PTGCY,12400,20070930
000W5D-E,PTGCY,12400,20071231
000W5D-E,PTGCY,12400,20080331
000W5D-E,PTGCY,12400,20080630
000W5D-E,PTGCY,12400,20080930
000W5D-E,PTGCY,11600,20081231
000W5D-E,PTGCY,11600,20090331
000W5D-E,PTGCY,11600,20090630
000W5D-E,PTGCY,11600,20090930
000W5D-E,PTGCY,11600,20091231
000W5D-E,PTGCY,11600,20100331
000W5D-E,PTGCY,11600,20100630
000W5D-E,PTGCY,11600,20100930
000W5D-E,PTGCY,11600,20101231
000W5D-E,EEFT,87985,20061231
000W5D-E,EEFT,88070,20070331
000W5D-E,EEFT,88035,20070630
000W5D-E,EEFT,88460,20070930
000W5D-E,EEFT,89105,20071231
000W5D-E,EEFT,89560,20080331
000W5D-E,EEFT,89560,20080630
000W5D-E,EEFT,98460,20080930
000W5D-E,PRU,178668,20061231
000W5D-E,PRU,178303,20070331
000W5D-E,PRU,176563,20070630
000W5D-E,PRU,178003,20070930
000W5D-E,PRU,175328,20071231
000W5D-E,PRU,196883,20080331
000W5D-E,PRU,187433,20080630
000W5D-E,PRU,192133,20080930
000W5D-E,PRU,285522,20081231
000W5D-E,PRU,250522,20090331
000W5D-E,PRU,250387,20090630
000W5D-E,PRU,250377,20090930
000W5D-E,PRU,247577,20091231
000W5D-E,PRU,247457,20100331
000W5D-E,PRU,239820,20100630
000W5D-E,PRU,216940,20100930
000W5D-E,PRU,215460,20101231
000W5D-E,MO,66500,20061231
000W5D-E,MO,65500,20070331
000W5D-E,MO,65500,20070630
000W5D-E,MO,67300,20070930
000W5D-E,MO,65600,20071231
000W5D-E,MO,63100,20080331
000W5D-E,MO,57500,20080630
000W5D-E,MO,57500,20080930
000W5D-E,MO,60400,20081231
000W5D-E,MO,60400,20090331
000W5D-E,MO,60400,20090630
000W5D-E,MO,60400,20090930
000W5D-E,MO,39600,20091231
000W5D-E,MO,39600,20100331
000W5D-E,MO,40400,20100630
000W5D-E,MO,40400,20100930
000W5D-E,MO,559075,20101231
000W5D-E,FDO,17800,20061231
000W5D-E,FDO,17800,20070331
000W5D-E,FDO,17800,20070630
000W5D-E,FDO,17800,20070930
000W5D-E,FDO,17800,20071231
000W5D-E,FDO,20800,20080331
000W5D-E,FDO,20800,20080630
000W5D-E,FDO,20800,20080930
000W5D-E,FDO,20800,20081231
000W5D-E,FDO,20800,20090331
000W5D-E,FDO,20800,20090630
000W5D-E,FDO,20800,20090930
000W5D-E,FDO,20800,20091231
000W5D-E,FDO,20800,20100331
000W5D-E,FDO,20800,20100630
000W5D-E,FDO,20800,20100930
000W5D-E,FDO,20800,20101231
000W5D-E,TEG,29370,20070331
000W5D-E,TEG,29370,20070630
000W5D-E,TEG,29370,20070930
000W5D-E,TEG,15900,20071231
000W5D-E,TEG,14900,20080331
000W5D-E,TEG,12900,20080630
000W5D-E,TEG,12900,20080930
000W5D-E,TEG,12400,20081231
000W5D-E,TEG,12400,20090331
000W5D-E,GPC,67275,20061231
000W5D-E,GPC,67275,20070331
000W5D-E,GPC,66650,20070630
000W5D-E,GPC,66550,20070930
000W5D-E,GPC,66475,20071231
000W5D-E,GPC,64850,20080331
000W5D-E,GPC,64850,20080630
000W5D-E,GPC,64825,20080930
000W5D-E,GPC,67300,20081231
000W5D-E,GPC,67300,20090331
000W5D-E,GPC,67300,20090630
000W5D-E,GPC,67300,20090930
000W5D-E,GPC,28900,20091231
000W5D-E,GPC,28900,20100331
000W5D-E,GPC,28700,20100630
000W5D-E,GPC,13800,20100930
000W5D-E,GPC,13050,20101231
000W5D-E,RCI.B,117975,20080630
000W5D-E,RCI.B,124375,20080930
000W5D-E,RCI.B,126740,20081231
000W5D-E,RCI.B,126130,20090331
000W5D-E,RCI.B,126095,20090630
000W5D-E,RCI.B,131245,20090930
000W5D-E,RCI.B,131245,20091231
000W5D-E,RCI.B,131245,20100331
000W5D-E,RCI.B,127170,20100630
000W5D-E,RCI.B,111330,20100930
000W5D-E,RCI.B,111330,20101231
000W5D-E,A,102380,20061231
000W5D-E,A,102365,20070331
000W5D-E,A,102335,20070630
000W5D-E,A,103650,20070930
000W5D-E,A,105340,20071231
000W5D-E,A,109565,20080331
000W5D-E,A,109615,20080630
000W5D-E,A,111165,20080930
000W5D-E,A,123900,20081231
000W5D-E,A,122895,20090331
000W5D-E,A,122850,20090630
000W5D-E,A,122825,20090930
000W5D-E,A,122675,20091231
000W5D-E,A,122625,20100331
000W5D-E,A,119660,20100630
000W5D-E,A,109790,20100930
000W5D-E,A,109765,20101231
000W5D-E,FHN,31800,20061231
000W5D-E,ADO,10600,20061231
000W5D-E,ADO,10600,20070331
000W5D-E,ADO,10600,20070630
000W5D-E,ADO,10600,20070930
000W5D-E,NOV,82700,20100930
000W5D-E,NOV,82695,20101231
000W5D-E,MCO,5000,20061231
000W5D-E,MCO,5000,20070331
000W5D-E,MCO,5000,20070630
000W5D-E,MCO,5000,20070930
000W5D-E,BHI,18500,20061231
000W5D-E,BHI,18500,20070331
000W5D-E,BHI,18800,20070630
000W5D-E,BHI,18500,20070930
000W5D-E,BHI,18500,20071231
000W5D-E,BHI,18500,20080331
000W5D-E,BHI,16700,20080630
000W5D-E,BHI,16700,20080930
000W5D-E,BHI,16700,20081231
000W5D-E,BHI,15300,20090331
000W5D-E,BHI,15300,20090630
000W5D-E,BHI,15300,20090930
000W5D-E,BHI,134725,20091231
000W5D-E,BHI,134725,20100331
000W5D-E,BHI,129000,20100630
000W5D-E,BHI,107725,20100930
000W5D-E,BHI,107700,20101231
000W5D-E,UPS,96100,20061231
000W5D-E,UPS,96100,20070331
000W5D-E,UPS,96100,20070630
000W5D-E,UPS,96100,20070930
000W5D-E,UPS,96100,20071231
000W5D-E,UPS,97975,20080331
000W5D-E,UPS,97975,20080630
000W5D-E,UPS,103975,20080930
000W5D-E,UPS,144850,20081231
000W5D-E,UPS,143670,20090331
000W5D-E,UPS,143615,20090630
000W5D-E,UPS,144040,20090930
000W5D-E,UPS,143940,20091231
000W5D-E,UPS,143940,20100331
000W5D-E,UPS,137240,20100630
000W5D-E,UPS,118005,20100930
000W5D-E,UPS,117995,20101231
000W5D-E,QCOM,207495,20061231
000W5D-E,QCOM,207465,20070331
000W5D-E,QCOM,207415,20070630
000W5D-E,QCOM,207915,20070930
000W5D-E,QCOM,208240,20071231
000W5D-E,QCOM,217500,20080331
000W5D-E,QCOM,223150,20080630
000W5D-E,QCOM,234350,20080930
000W5D-E,QCOM,275750,20081231
000W5D-E,QCOM,265150,20090331
000W5D-E,QCOM,265055,20090630
000W5D-E,QCOM,263880,20090930
000W5D-E,QCOM,254780,20091231
000W5D-E,QCOM,254730,20100331
000W5D-E,QCOM,248280,20100630
000W5D-E,QCOM,226930,20100930
000W5D-E,QCOM,226085,20101231
000W5D-E,WEC,9414,20061231
000W5D-E,WEC,9414,20070331
000W5D-E,WEC,9414,20070630
000W5D-E,WEC,9414,20070930
000W5D-E,WEC,9414,20071231
000W5D-E,WEC,9414,20080331
000W5D-E,WEC,7100,20080630
000W5D-E,WEC,6000,20080930
000W5D-E,WEC,6000,20081231
000W5D-E,WEC,5500,20090331
000W5D-E,WEC,5500,20090630
000W5D-E,WEC,5500,20090930
000W5D-E,WEC,5500,20091231
000W5D-E,WEC,5500,20100331
000W5D-E,WEC,4500,20100630
000W5D-E,AGN.XX2,32362,20061231
000W5D-E,AGN.XX2,32352,20070331
000W5D-E,AGN.XX2,64674,20070630
000W5D-E,AGN.XX2,64674,20070930
000W5D-E,AGN.XX2,64674,20071231
000W5D-E,AGN.XX2,70679,20080331
000W5D-E,AGN.XX2,70229,20080630
000W5D-E,AGN.XX2,78329,20080930
000W5D-E,NNN,28650,20061231
000W5D-E,NNN,28650,20070331
000W5D-E,NNN,28650,20070630
000W5D-E,NNN,28650,20070930
000W5D-E,NNN,22950,20071231
000W5D-E,NNN,13000,20080331
000W5D-E,NNN,13000,20080630
000W5D-E,NNN,11200,20080930
000W5D-E,NNN,11200,20081231
000W5D-E,NNN,11200,20090331
000W5D-E,NNN,11200,20090630
000W5D-E,NNN,11200,20090930
000W5D-E,NNN,11200,20091231
000W5D-E,NNN,11200,20100331
000W5D-E,IWA,70200,20061231
000W5D-E,IWA,70200,20070331
000W5D-E,IWA,70200,20070630
000W5D-E,IWA,70200,20070930
000W5D-E,IWA,70200,20071231
000W5D-E,IWA,70200,20080331
000W5D-E,IWA,70200,20080630
000W5D-E,IWA,70200,20080930
000W5D-E,IWA,70200,20081231
000W5D-E,IWA,70200,20090331
000W5D-E,IWA,70200,20090630
000W5D-E,IWA,70200,20090930
000W5D-E,ERJ,6650,20061231
000W5D-E,ERJ,6650,20070331
000W5D-E,ERJ,6650,20070630
000W5D-E,ERJ,6650,20070930
000W5D-E,ERJ,6650,20071231
000W5D-E,ERJ,6650,20080331
000W5D-E,BNI,18415,20061231
000W5D-E,BNI,17765,20070331
000W5D-E,BNI,16865,20070630
000W5D-E,BNI,21940,20070930
000W5D-E,BNI,22870,20071231
000W5D-E,BNI,22815,20080331
000W5D-E,BNI,17650,20080630
000W5D-E,BNI,17650,20080930
000W5D-E,BNI,17950,20081231
000W5D-E,BNI,17950,20090331
000W5D-E,BNI,17930,20090630
000W5D-E,BNI,17930,20090930
000W5D-E,BNI,6800,20091231
000W5D-E,ARA.XX1,3625,20080331
000W5D-E,ARA.XX1,3625,20080630
000W5D-E,LXK,6200,20061231
000W5D-E,LXK,6200,20070331
000W5D-E,LXK,6200,20070630
000W5D-E,LXK,6200,20070930
000W5D-E,LXK,6200,20071231
000W5D-E,LXK,6200,20080630
000W5D-E,LXK,6200,20080930
000W5D-E,LXK,6200,20100331
000W5D-E,LXK,6200,20100630
000W5D-E,LXK,5900,20100930
000W5D-E,LXK,5900,20101231
000W5D-E,EQR,61300,20061231
000W5D-E,EQR,61300,20070331
000W5D-E,EQR,62295,20070630
000W5D-E,EQR,62295,20070930
000W5D-E,EQR,62295,20071231
000W5D-E,EQR,65900,20080331
000W5D-E,EQR,65900,20080630
000W5D-E,EQR,63300,20080930
000W5D-E,EQR,64100,20081231
000W5D-E,EQR,64100,20090331
000W5D-E,EQR,64100,20090630
000W5D-E,EQR,64100,20090930
000W5D-E,EQR,27800,20091231
000W5D-E,EQR,27800,20100331
000W5D-E,EQR,27800,20100630
000W5D-E,EQR,27800,20100930
000W5D-E,EQR,27800,20101231
000W5D-E,MON,58238,20090331
000W5D-E,MON,58218,20090630
000W5D-E,MON,58218,20090930
000W5D-E,MON,58168,20091231
000W5D-E,MON,58168,20100331
000W5D-E,MON,56943,20100630
000W5D-E,MON,52580,20100930
000W5D-E,MON,52580,20101231
000W5D-E,SPWR,1600,20071231
000W5D-E,BUCY,43725,20100930
000W5D-E,BUCY,43725,20101231
000W5D-E,GGP,71150,20061231
000W5D-E,GGP,71150,20070331
000W5D-E,GGP,72025,20070630
000W5D-E,GGP,72025,20070930
000W5D-E,GGP,72025,20071231
000W5D-E,GGP,74750,20080331
000W5D-E,GGP,74750,20080630
000W5D-E,GGP,74750,20080930
000W5D-E,GGP,53800,20081231
000W5D-E,GGP,53800,20090331
000W5D-E,GGP,53800,20090630
000W5D-E,GGP,53800,20090930
000W5D-E,GGP,18100,20091231
000W5D-E,GGP,18354,20100331
000W5D-E,GGP,18354,20100630
000W5D-E,GGP,18354,20100930
000W5D-E,GGP,18354,20101231
000W5D-E,SSLTY,14300,20061231
000W5D-E,SSLTY,14300,20070331
000W5D-E,SSLTY,14300,20070630
000W5D-E,SSLTY,14300,20070930
000W5D-E,SSLTY,14300,20071231
000W5D-E,SSLTY,14300,20080331
000W5D-E,SSLTY,14300,20080630
000W5D-E,SSLTY,14300,20080930
000W5D-E,SSLTY,13400,20081231
000W5D-E,SSLTY,13400,20090331
000W5D-E,SSLTY,13400,20090630
000W5D-E,SSLTY,13400,20090930
000W5D-E,SSLTY,13400,20091231
000W5D-E,SSLTY,13400,20100331
000W5D-E,SSLTY,48800,20100630
000W5D-E,SSLTY,48800,20100930
000W5D-E,SSLTY,48800,20101231
000W5D-E,CIT,334068,20091231
000W5D-E,CIT,35800,20100331
000W5D-E,CIT,35800,20100630
000W5D-E,CIT,35800,20100930
000W5D-E,CIT,35800,20101231
000W5D-E,ICLR,4250,20080331
000W5D-E,ICLR,4250,20080630
000W5D-E,ICLR,11300,20080930
000W5D-E,ICLR,7950,20100331
000W5D-E,ICLR,7950,20100630
000W5D-E,AHL,186440,20061231
000W5D-E,AHL,241510,20070331
000W5D-E,AHL,241430,20070630
000W5D-E,AHL,244555,20070930
