InstitutionID,SecurityTicker,SharesHeld,ReportDate
04B9LK-E,INSQ,4000,20080331
04B9LK-E,WOLVQ,1500,20061231
04B9LK-E,WOLVQ,1500,20070331
04B9LK-E,WOLVQ,1500,20070630
04B9LK-E,WOLVQ,1500,20070930
04B9LK-E,WOLVQ,1500,20071231
04B9LK-E,WOLVQ,1500,20080331
04B9LK-E,WOLVQ,1500,20080630
04B9LK-E,TFSM,300,20061231
04B9LK-E,TFSM,300,20070331
04B9LK-E,CTQN,3000,20061231
04B9LK-E,CTQN,3000,20070331
04B9LK-E,CTQN,3000,20070630
04B9LK-E,CTQN,3000,20070930
04B9LK-E,CTQN,3000,20071231
04B9LK-E,CTQN,3000,20080331
04B9LK-E,CTQN,3000,20080630
04B9LK-E,CTQN,3000,20080930
04B9LK-E,CTQN,3000,20081231
04B9LK-E,CTQN,3000,20090331
04B9LK-E,CTQN,3000,20090630
04B9LK-E,CSCX,50,20061231
04B9LK-E,CSCX,50,20070331
04B9LK-E,CSCX,50,20070630
04B9LK-E,CSCX,50,20070930
04B9LK-E,CSCX,50,20071231
04B9LK-E,CSCX,50,20080331
04B9LK-E,CSCX,50,20080630
04B9LK-E,CSCX,50,20080930
04B9LK-E,CSCX,50,20081231
04B9LK-E,CSCX,50,20090331
04B9LK-E,CSCX,50,20090630
04B9LK-E,CSCX,50,20090930
04B9LK-E,MPIX,50000,20071231
04B9LK-E,MPIX,200,20080331
04B9LK-E,MPIX,200,20080630
04B9LK-E,MPIX,200,20080930
04B9LK-E,MPIX,200,20081231
04B9LK-E,MPIX,200,20090331
04B9LK-E,MPIX,200,20090930
04B9LK-E,DDVS,3500,20061231
04B9LK-E,DDVS,3500,20070331
04B9LK-E,DDVS,3500,20070630
04B9LK-E,DDVS,3500,20070930
04B9LK-E,DDVS,3500,20071231
04B9LK-E,DDVS,3500,20080331
04B9LK-E,DDVS,3500,20080630
04B9LK-E,DDVS,3500,20080930
