InstitutionID,SecurityTicker,SharesHeld,ReportDate
001XDJ-E,UNP,1397701,20061231
001XDJ-E,UNP,242771,20070331
001XDJ-E,UNP,31700,20070630
001XDJ-E,UNP,31700,20070930
001XDJ-E,UNP,26000,20071231
001XDJ-E,IWD,31059,20071231
001XDJ-E,SWY,132000,20061231
001XDJ-E,SWY,63600,20070331
001XDJ-E,SWY,57100,20070630
001XDJ-E,SWY,57100,20070930
001XDJ-E,MO,220570,20070630
001XDJ-E,MO,218665,20070930
001XDJ-E,MO,229300,20071231
001XDJ-E,OCR,199702,20070630
001XDJ-E,OCR,127100,20070930
001XDJ-E,OCR,392200,20071231
001XDJ-E,MEE,219100,20061231
001XDJ-E,MEE,210100,20070331
001XDJ-E,MEE,188800,20070630
001XDJ-E,MEE,273800,20070930
001XDJ-E,MEE,195900,20071231
001XDJ-E,CYH,189500,20061231
001XDJ-E,CYH,127900,20070331
001XDJ-E,CYH,64500,20070630
001XDJ-E,CYH,40400,20070930
001XDJ-E,LXK,105700,20061231
001XDJ-E,LXK,99300,20070331
001XDJ-E,LXK,89300,20070630
001XDJ-E,LXK,139300,20070930
001XDJ-E,LXK,108900,20071231
001XDJ-E,NOC,1971313,20061231
001XDJ-E,NOC,373496,20070331
001XDJ-E,NOC,299188,20070630
001XDJ-E,NOC,268275,20070930
001XDJ-E,NOC,254909,20071231
001XDJ-E,TDW,88500,20061231
001XDJ-E,TDW,264520,20070331
001XDJ-E,TDW,185015,20070630
001XDJ-E,TDW,89200,20070930
001XDJ-E,TDW,422240,20071231
001XDJ-E,MDLZ,498435,20070630
001XDJ-E,MDLZ,541175,20070930
001XDJ-E,MDLZ,749335,20071231
001XDJ-E,WYN,58690,20061231
001XDJ-E,WYN,56190,20070331
001XDJ-E,WYN,50550,20070630
001XDJ-E,WYN,50550,20070930
001XDJ-E,WYN,128050,20071231
001XDJ-E,TRI.XX1,2775273,20061231
001XDJ-E,SVU,1757422,20061231
001XDJ-E,XL,291984,20070331
001XDJ-E,XL,240303,20070630
001XDJ-E,XL,216203,20070930
001XDJ-E,XL,301122,20071231
001XDJ-E,FOXA,915738,20071231
001XDJ-E,WMT,448737,20071231
001XDJ-E,HD,3239392,20061231
001XDJ-E,HD,478256,20070331
001XDJ-E,HD,384575,20070630
001XDJ-E,HD,369368,20070930
001XDJ-E,MCD,84388,20061231
001XDJ-E,MCD,61888,20070331
001XDJ-E,HIG,1818981,20061231
001XDJ-E,HIG,329148,20070331
001XDJ-E,HIG,192174,20070630
001XDJ-E,HIG,89100,20070930
001XDJ-E,CB.XX2,155700,20061231
001XDJ-E,CB.XX2,550052,20070331
001XDJ-E,CB.XX2,451907,20070630
001XDJ-E,CB.XX2,431428,20070930
001XDJ-E,CB.XX2,430022,20071231
001XDJ-E,COV,48625,20070930
001XDJ-E,TEVA,201133,20061231
001XDJ-E,TEVA,615493,20070331
001XDJ-E,TEVA,515841,20070630
001XDJ-E,TEVA,473008,20070930
001XDJ-E,RSHCQ,202900,20061231
001XDJ-E,JCI,225900,20061231
001XDJ-E,JCI,216700,20070331
001XDJ-E,JCI,194500,20070630
001XDJ-E,JCI,48625,20070930
001XDJ-E,JCI,353547,20071231
001XDJ-E,MWV,5730567,20061231
001XDJ-E,MWV,207450,20070331
001XDJ-E,MWV,186050,20070630
001XDJ-E,MWV,186050,20070930
001XDJ-E,S.XX1,4160300,20061231
001XDJ-E,S.XX1,1108098,20070331
001XDJ-E,S.XX1,958929,20070630
001XDJ-E,S.XX1,228703,20070930
001XDJ-E,TRV,4652235,20061231
001XDJ-E,TRV,133610,20070331
001XDJ-E,WMB,139300,20061231
001XDJ-E,WMB,60700,20070331
001XDJ-E,WMB,54377,20070630
001XDJ-E,WMB,54377,20070930
001XDJ-E,LEN,110300,20061231
001XDJ-E,LEN,105800,20070331
001XDJ-E,LEN,107000,20070630
001XDJ-E,LEN,107000,20070930
001XDJ-E,CTX.XX1,108900,20061231
001XDJ-E,CTX.XX1,525332,20070331
001XDJ-E,CTX.XX1,340507,20070630
001XDJ-E,CTX.XX1,105600,20070930
001XDJ-E,XOM,441616,20071231
001XDJ-E,TEL,48625,20070930
001XDJ-E,PFE,9583815,20061231
001XDJ-E,PFE,1410249,20070331
001XDJ-E,PFE,1166059,20070630
001XDJ-E,PFE,1254087,20070930
001XDJ-E,PFE,829791,20071231
001XDJ-E,H.XX1,114575,20061231
001XDJ-E,H.XX1,89275,20070331
001XDJ-E,WAMUQ,5039470,20061231
001XDJ-E,WAMUQ,800000,20070331
001XDJ-E,WAMUQ,579914,20070630
001XDJ-E,WAMUQ,583433,20070930
001XDJ-E,WAMUQ,425300,20071231
001XDJ-E,NWL,178600,20061231
001XDJ-E,UTX,1923000,20061231
001XDJ-E,UTX,349133,20070331
001XDJ-E,UTX,305046,20070630
001XDJ-E,UTX,299839,20070930
001XDJ-E,UTX,292422,20071231
001XDJ-E,M,3116017,20061231
001XDJ-E,M,545829,20070331
001XDJ-E,M,571646,20070630
001XDJ-E,M,644775,20070930
001XDJ-E,M,154400,20071231
001XDJ-E,MER,29767,20061231
001XDJ-E,DFS,60900,20070930
001XDJ-E,AET,3267668,20061231
001XDJ-E,AET,555389,20070331
001XDJ-E,AET,342687,20070630
001XDJ-E,AET,341136,20070930
001XDJ-E,AET,458255,20071231
001XDJ-E,COP,3158704,20061231
001XDJ-E,COP,437681,20070331
001XDJ-E,COP,362826,20070630
001XDJ-E,COP,333117,20070930
001XDJ-E,COP,347129,20071231
001XDJ-E,SSCCQ,200000,20061231
001XDJ-E,SSCCQ,383300,20070331
001XDJ-E,SSCCQ,344300,20070630
001XDJ-E,SSCCQ,419300,20070930
001XDJ-E,SSCCQ,615600,20071231
